Time,Voltage,Current,Frequency,Temperature,Fault,Confidence,Grid Health,Shutdown
08-07-2026 13:02:41,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 13:05:02,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 13:13:04,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 13:17:31,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 13:18:28,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 13:25:18,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 13:27:03,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 13:28:04,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
08-07-2026 13:29:13,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 17:18:55,220.0,11.95,49.94,30.0,Overload,68.0,45,YES
08-07-2026 17:19:03,224.0,17.76,49.82,49.0,Overload,99.0,45,YES
08-07-2026 17:19:10,224.0,8.13,49.88,40.0,Normal,52.0,100,NO
08-07-2026 17:19:12,229.0,16.51,49.91,56.0,Overload,99.0,45,YES
08-07-2026 17:19:14,235.0,14.59,49.8,49.0,Overload,99.0,45,YES
08-07-2026 17:20:55,235.0,6.92,49.85,47.0,Normal,54.0,100,NO
08-07-2026 18:21:50,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 18:21:59,236.0,11.78,50.11,50.0,Overload,99.0,45,YES
08-07-2026 18:22:12,227.0,17.02,49.98,53.0,Overload,99.0,45,YES
08-07-2026 18:22:16,221.0,5.69,50.04,35.0,Normal,100.0,100,NO
08-07-2026 18:22:21,236.0,9.28,50.0,42.0,Overload,51.0,45,YES
08-07-2026 18:22:22,236.0,7.05,50.09,52.0,Normal,54.0,100,NO
08-07-2026 18:22:24,223.0,16.73,49.91,49.0,Overload,99.0,45,YES
08-07-2026 18:22:25,234.0,18.78,49.95,54.0,Overload,99.0,45,YES
08-07-2026 18:22:25,237.0,5.61,49.94,59.0,Normal,53.0,100,NO
08-07-2026 18:22:26,231.0,5.6,50.15,48.0,Normal,53.0,100,NO
08-07-2026 18:22:27,236.0,8.35,50.04,47.0,Normal,51.0,100,NO
08-07-2026 18:30:00,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 18:30:30,230.0,14.6,50.15,35.0,Overload,68.0,45,YES
08-07-2026 18:31:54,230.0,14.01,49.91,44.0,Overload,99.0,45,YES
08-07-2026 18:53:12,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 18:59:37,229.0,4.27,49.9,39.0,Normal,56.0,100,NO
08-07-2026 19:00:07,225.0,12.79,50.19,49.0,Overload,99.0,45,YES
08-07-2026 19:00:15,222.0,14.26,50.1,50.0,Overload,99.0,45,YES
08-07-2026 19:00:17,239.0,11.23,50.06,37.0,Overload,71.0,45,YES
08-07-2026 19:00:19,239.0,10.91,49.81,45.0,Overload,99.0,45,YES
08-07-2026 19:00:21,220.0,7.75,50.09,36.0,Normal,79.0,100,NO
08-07-2026 19:00:25,234.0,11.36,50.14,55.0,Overload,99.0,45,YES
08-07-2026 19:00:28,235.0,12.94,49.98,46.0,Overload,99.0,45,YES
08-07-2026 19:00:29,227.0,4.03,50.14,35.0,Normal,100.0,100,NO
08-07-2026 19:00:32,227.0,8.24,49.86,30.0,Normal,88.0,100,NO
08-07-2026 19:02:34,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 19:03:02,237.0,5.19,49.94,45.0,Normal,53.0,100,NO
08-07-2026 19:08:54,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 19:09:09,220.0,5.91,50.06,28.0,Normal,100.0,100,NO
08-07-2026 19:09:16,226.0,8.92,49.88,41.0,Normal,52.0,100,NO
08-07-2026 19:09:19,235.0,10.34,49.89,54.0,Overload,99.0,45,YES
08-07-2026 20:37:13,229.0,3.57,49.82,29.0,Normal,100.0,100,NO
08-07-2026 20:37:26,234.0,13.41,49.82,50.0,Overload,99.0,45,YES
08-07-2026 20:40:34,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 20:40:41,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 20:40:43,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 20:41:02,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
08-07-2026 20:41:20,228.0,11.16,49.96,51.0,Overload,99.0,45,YES
08-07-2026 20:41:44,220.0,11.92,49.99,41.0,Overload,99.0,45,YES
08-07-2026 20:41:47,223.0,6.59,49.86,40.0,Normal,55.0,100,NO
08-07-2026 20:49:56,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 20:50:29,223.0,13.13,49.85,53.0,Overload,99.0,45,YES
08-07-2026 20:53:52,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 20:54:04,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 20:54:14,229.0,13.76,50.06,52.0,Overload,99.0,45,YES
08-07-2026 21:03:37,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 21:04:14,234.0,6.38,49.91,33.0,Normal,100.0,100,NO
08-07-2026 21:04:21,234.0,5.57,49.95,33.0,Normal,100.0,100,NO
08-07-2026 21:04:26,223.0,10.14,49.95,44.0,Overload,99.0,45,YES
08-07-2026 21:14:35,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 21:14:59,233.0,12.6,49.9,53.0,Overload,99.0,45,YES
08-07-2026 21:27:42,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 21:27:55,231.0,7.56,49.92,45.0,Normal,54.0,100,NO
08-07-2026 21:28:00,240.0,9.89,49.84,32.0,Normal,62.0,100,NO
08-07-2026 21:28:03,225.0,6.76,49.99,46.0,Normal,54.0,100,NO
08-07-2026 21:28:06,236.0,8.19,49.92,32.0,Normal,87.0,100,NO
08-07-2026 21:28:08,223.0,7.18,49.94,40.0,Normal,55.0,100,NO
08-07-2026 21:28:10,226.0,4.28,50.1,25.0,Normal,100.0,100,NO
08-07-2026 21:28:11,224.0,5.62,49.95,47.0,Normal,53.0,100,NO
08-07-2026 21:28:12,236.0,3.09,49.85,37.0,Normal,79.0,100,NO
08-07-2026 21:28:13,220.0,7.95,50.18,30.0,Normal,100.0,100,NO
08-07-2026 21:28:18,226.0,14.53,50.05,44.0,Overload,99.0,45,YES
08-07-2026 21:28:49,229.0,6.12,49.87,25.0,Normal,100.0,100,NO
08-07-2026 21:28:54,221.0,5.75,50.14,54.0,Normal,53.0,100,NO
08-07-2026 21:28:57,222.0,12.69,50.15,50.0,Overload,99.0,45,YES
08-07-2026 21:57:01,234.0,8.96,50.06,55.0,Normal,51.0,100,NO
08-07-2026 21:57:11,239.0,12.15,49.9,31.0,Overload,68.0,45,YES
08-07-2026 22:25:24,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 22:25:40,225.0,6.71,50.08,36.0,Normal,79.0,100,NO
08-07-2026 22:25:50,225.0,4.66,50.13,54.0,Normal,53.0,100,NO
08-07-2026 22:25:59,239.0,13.2,49.81,52.0,Overload,99.0,45,YES
08-07-2026 23:08:57,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 23:09:17,234.0,5.08,50.13,43.0,Normal,54.0,100,NO
08-07-2026 23:13:27,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 23:16:21,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 23:21:30,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 23:23:39,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 23:24:00,227.0,11.58,50.04,53.0,Overload,99.0,45,YES
09-07-2026 12:15:51,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 12:16:35,222.0,5.2,50.12,48.0,Normal,53.0,100,NO
09-07-2026 12:16:43,223.0,12.53,50.03,47.0,Overload,99.0,45,YES
09-07-2026 12:32:08,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 12:32:42,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 12:33:06,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 12:33:50,150.0,2.0,49.0,30.0,Undervoltage,100.0,50,YES
09-07-2026 12:34:15,300.0,10.0,55.0,30.0,Overvoltage,88.0,40,YES
09-07-2026 13:21:56,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 14:43:08,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 14:43:32,237.0,7.42,49.94,54.0,Normal,54.0,100,NO
09-07-2026 14:43:37,227.0,3.46,50.0,46.0,Normal,53.0,100,NO
09-07-2026 14:43:39,224.0,6.26,50.06,46.0,Normal,54.0,100,NO
09-07-2026 14:43:42,222.0,7.14,50.17,50.0,Normal,54.0,100,NO
09-07-2026 14:43:43,238.0,7.66,49.83,37.0,Normal,80.0,100,NO
09-07-2026 14:43:45,225.0,13.55,49.87,55.0,Overload,99.0,45,YES
09-07-2026 15:20:42,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 15:23:21,229.0,8.12,50.04,46.0,Normal,51.0,100,NO
09-07-2026 15:23:23,227.0,3.89,50.02,36.0,Normal,78.0,100,NO
09-07-2026 15:23:25,235.0,9.59,50.19,28.0,Normal,62.0,100,NO
09-07-2026 15:23:27,226.0,9.45,50.1,37.0,Normal,51.0,100,NO
09-07-2026 15:23:29,234.0,6.46,50.07,55.0,Normal,54.0,100,NO
09-07-2026 15:23:30,222.0,5.99,50.1,29.0,Normal,100.0,100,NO
09-07-2026 15:23:32,238.0,3.7,49.93,28.0,Normal,100.0,100,NO
09-07-2026 15:23:33,238.0,3.54,50.11,39.0,Normal,55.0,100,NO
09-07-2026 15:23:35,238.0,5.48,49.96,29.0,Normal,100.0,100,NO
09-07-2026 15:23:37,236.0,8.35,49.89,30.0,Normal,88.0,100,NO
09-07-2026 15:23:38,235.0,8.1,49.91,34.0,Normal,88.0,100,NO
09-07-2026 15:23:39,239.0,10.14,50.05,33.0,Overload,68.0,45,YES
09-07-2026 16:00:45,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 16:00:49,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 16:01:01,226.0,8.43,49.9,25.0,Normal,88.0,100,NO
09-07-2026 16:01:06,230.0,12.74,49.89,28.0,Overload,68.0,45,YES
09-07-2026 16:02:23,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 16:02:26,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 16:02:30,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 16:02:31,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 16:02:38,223.0,8.99,49.94,36.0,Normal,76.0,100,NO
09-07-2026 16:05:35,221.0,4.79,49.85,52.0,Normal,53.0,100,NO
09-07-2026 16:05:49,229.0,9.46,49.96,28.0,Normal,62.0,100,NO
09-07-2026 16:05:50,224.0,7.87,50.03,27.0,Normal,100.0,100,NO
09-07-2026 16:05:54,229.0,10.85,50.03,31.0,Overload,68.0,45,YES
09-07-2026 18:37:54,232.0,9.44,49.86,52.0,Normal,41.0,100,NO
09-07-2026 19:10:06,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 19:11:46,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 19:14:20,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 19:27:12,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 19:27:37,150.86,15.0,50.0,30.0,Overload,59.0,45,YES
09-07-2026 19:28:20,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 19:28:25,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 19:40:36,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 19:40:50,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 19:45:57,0.0,0.0,0.0,28.0,Line Break,100.0,20,YES
09-07-2026 19:56:31,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
09-07-2026 19:57:05,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 21:34:31,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 21:40:24,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 21:44:36,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 21:50:33,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 21:51:13,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 21:52:54,275.0,15.0,50.0,45.0,Overload,66.0,45,YES
09-07-2026 21:55:18,275.0,15.0,50.0,45.0,Overload,66.0,45,YES
09-07-2026 21:57:42,150.0,2.0,50.0,32.0,Undervoltage,100.0,50,YES
09-07-2026 21:59:56,275.0,15.0,50.0,45.0,Overload,66.0,45,YES
09-07-2026 22:02:16,275.0,15.0,50.0,30.0,Overload,65.0,45,YES
09-07-2026 22:02:41,150.0,2.0,50.0,30.0,Undervoltage,100.0,50,YES
09-07-2026 22:03:06,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
09-07-2026 22:03:33,290.0,10.0,80.0,30.0,Overvoltage,99.0,40,YES
14-07-2026 22:06:46,315.0,17.78,50.12,26.8,Overload,65.0,45,YES
14-07-2026 22:07:36,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
14-07-2026 22:17:13,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
14-07-2026 22:22:10,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
14-07-2026 22:24:03,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
14-07-2026 22:24:09,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
14-07-2026 22:27:32,315.0,17.46,49.93,29.4,Overload,65.0,45,YES
15-07-2026 18:23:58,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES
16-07-2026 19:42:08,230.9,4.73,50.17,29.6,Normal,100.0,100,NO
16-07-2026 19:45:37,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
16-07-2026 19:51:38,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
