Voltage,Current,Frequency,Temperature,Fault,Shutdown
15,0.0,0.0,24,Line Break,Yes
287,5.29,50.7,40,Overvoltage,Yes
258,13.42,49.96,51,Overload,Yes
277,6.16,50.43,31,Overvoltage,Yes
277,9.41,50.15,35,Overvoltage,Yes
284,7.79,50.07,38,Overvoltage,Yes
8,0.0,0.0,27,Line Break,Yes
226,6.16,49.9,35,Normal,No
240,7.58,49.91,25,Normal,No
250,16.76,50.08,42,Overload,Yes
7,0.0,0.0,22,Line Break,Yes
277,7.41,50.74,42,Overvoltage,Yes
153,3.73,49.96,30,Undervoltage,Yes
259,15.71,49.83,48,Overload,Yes
0,0.0,0.0,20,Line Break,Yes
7,0.0,0.0,30,Line Break,Yes
13,0.0,0.0,20,Line Break,Yes
243,16.5,50.19,47,Overload,Yes
229,6.53,50.11,34,Normal,No
284,8.17,50.5,37,Overvoltage,Yes
288,6.98,50.2,44,Overvoltage,Yes
238,6.07,49.95,28,Normal,No
220,6.83,49.96,30,Normal,No
223,7.62,50.0,27,Normal,No
10,0.0,0.0,22,Line Break,Yes
105,5.29,49.02,33,Undervoltage,Yes
240,3.53,50.1,28,Normal,No
256,11.66,50.15,49,Overload,Yes
257,13.21,50.0,48,Overload,Yes
275,8.64,50.34,34,Overvoltage,Yes
267,8.17,50.26,43,Overvoltage,Yes
12,0.0,0.0,20,Line Break,Yes
235,3.61,49.84,32,Normal,No
236,7.13,50.03,29,Normal,No
232,5.35,49.86,29,Normal,No
235,7.59,50.18,26,Normal,No
246,12.09,50.02,43,Overload,Yes
246,10.66,50.16,46,Overload,Yes
235,5.73,50.01,29,Normal,No
220,7.17,49.84,28,Normal,No
225,6.6,49.93,28,Normal,No
239,4.78,49.9,30,Normal,No
9,0.0,0.0,28,Line Break,Yes
237,6.37,49.97,34,Normal,No
223,5.96,50.18,29,Normal,No
17,0.0,0.0,24,Line Break,Yes
101,3.32,49.38,34,Undervoltage,Yes
157,3.82,49.12,26,Undervoltage,Yes
257,18.53,50.1,53,Overload,Yes
228,4.55,50.02,25,Normal,No
19,0.0,0.0,24,Line Break,Yes
253,14.6,50.16,40,Overload,Yes
262,9.98,50.28,35,Overvoltage,Yes
262,7.88,50.7,30,Overvoltage,Yes
173,2.28,49.34,35,Undervoltage,Yes
241,10.05,49.89,53,Overload,Yes
239,5.58,49.83,31,Normal,No
237,5.17,50.02,34,Normal,No
152,2.69,49.28,27,Undervoltage,Yes
278,9.63,50.95,41,Overvoltage,Yes
245,17.25,50.18,44,Overload,Yes
265,6.34,50.51,40,Overvoltage,Yes
167,2.17,49.94,25,Undervoltage,Yes
130,5.74,49.53,32,Undervoltage,Yes
245,10.5,50.15,42,Overload,Yes
177,3.52,49.73,32,Undervoltage,Yes
221,6.04,50.13,28,Normal,No
286,5.96,50.28,45,Overvoltage,Yes
295,6.13,50.15,45,Overvoltage,Yes
17,0.0,0.0,24,Line Break,Yes
240,19.3,50.04,55,Overload,Yes
8,0.0,0.0,25,Line Break,Yes
120,3.87,49.14,32,Undervoltage,Yes
152,4.59,49.38,33,Undervoltage,Yes
220,7.3,49.94,29,Normal,No
17,0.0,0.0,22,Line Break,Yes
4,0.0,0.0,21,Line Break,Yes
149,4.55,49.38,28,Undervoltage,Yes
249,12.8,50.05,43,Overload,Yes
278,8.03,50.04,40,Overvoltage,Yes
285,5.89,50.98,41,Overvoltage,Yes
242,10.21,50.16,54,Overload,Yes
223,5.46,50.04,33,Normal,No
243,14.04,50.07,52,Overload,Yes
246,12.32,49.92,42,Overload,Yes
11,0.0,0.0,27,Line Break,Yes
10,0.0,0.0,20,Line Break,Yes
102,5.45,49.23,27,Undervoltage,Yes
167,5.81,49.5,31,Undervoltage,Yes
164,4.27,49.62,25,Undervoltage,Yes
237,7.58,50.19,29,Normal,No
292,5.02,50.78,31,Overvoltage,Yes
223,3.33,50.18,29,Normal,No
286,7.64,50.84,30,Overvoltage,Yes
242,16.79,50.03,55,Overload,Yes
270,8.72,50.82,34,Overvoltage,Yes
3,0.0,0.0,24,Line Break,Yes
18,0.0,0.0,29,Line Break,Yes
262,9.66,50.63,40,Overvoltage,Yes
243,12.73,49.98,54,Overload,Yes
122,3.42,49.37,35,Undervoltage,Yes
127,5.13,49.72,27,Undervoltage,Yes
148,5.72,49.63,27,Undervoltage,Yes
114,3.11,49.79,25,Undervoltage,Yes
234,7.34,49.93,30,Normal,No
258,12.44,50.05,48,Overload,Yes
243,12.95,50.12,49,Overload,Yes
279,7.58,50.51,43,Overvoltage,Yes
10,0.0,0.0,21,Line Break,Yes
9,0.0,0.0,20,Line Break,Yes
251,15.78,50.09,46,Overload,Yes
252,15.9,50.06,54,Overload,Yes
164,3.62,49.18,35,Undervoltage,Yes
144,4.93,49.52,29,Undervoltage,Yes
19,0.0,0.0,22,Line Break,Yes
258,17.81,50.03,50,Overload,Yes
13,0.0,0.0,21,Line Break,Yes
284,9.47,50.62,45,Overvoltage,Yes
275,7.45,50.39,38,Overvoltage,Yes
283,7.33,50.81,32,Overvoltage,Yes
11,0.0,0.0,27,Line Break,Yes
280,6.04,50.89,36,Overvoltage,Yes
289,7.65,50.45,36,Overvoltage,Yes
258,15.83,50.16,50,Overload,Yes
244,17.85,49.95,54,Overload,Yes
3,0.0,0.0,22,Line Break,Yes
249,11.91,50.08,40,Overload,Yes
226,3.81,49.88,32,Normal,No
131,3.28,49.34,28,Undervoltage,Yes
248,16.55,50.07,46,Overload,Yes
223,3.66,49.95,35,Normal,No
141,5.01,49.47,35,Undervoltage,Yes
0,0.0,0.0,20,Line Break,Yes
13,0.0,0.0,23,Line Break,Yes
283,6.83,50.82,35,Overvoltage,Yes
296,5.32,50.86,33,Overvoltage,Yes
247,13.44,50.09,55,Overload,Yes
259,10.18,49.9,53,Overload,Yes
268,5.68,50.62,34,Overvoltage,Yes
270,5.36,50.2,35,Overvoltage,Yes
221,7.67,49.99,33,Normal,No
4,0.0,0.0,27,Line Break,Yes
150,3.94,49.09,28,Undervoltage,Yes
267,5.13,50.68,35,Overvoltage,Yes
265,7.18,50.07,37,Overvoltage,Yes
291,8.27,50.48,30,Overvoltage,Yes
226,7.67,49.88,31,Normal,No
223,4.3,49.81,34,Normal,No
232,4.24,49.91,28,Normal,No
20,0.0,0.0,20,Line Break,Yes
221,7.15,50.12,28,Normal,No
242,17.66,50.18,41,Overload,Yes
263,6.75,50.11,43,Overvoltage,Yes
221,3.39,50.16,34,Normal,No
288,7.32,50.27,45,Overvoltage,Yes
138,5.9,49.17,26,Undervoltage,Yes
253,18.02,50.06,41,Overload,Yes
278,5.81,50.71,30,Overvoltage,Yes
277,5.65,50.8,39,Overvoltage,Yes
243,14.38,50.17,40,Overload,Yes
292,7.93,50.16,34,Overvoltage,Yes
139,5.62,49.3,28,Undervoltage,Yes
260,15.44,49.87,40,Overload,Yes
0,0.0,0.0,23,Line Break,Yes
12,0.0,0.0,23,Line Break,Yes
294,7.39,50.35,45,Overvoltage,Yes
106,4.64,49.99,27,Undervoltage,Yes
252,15.29,49.9,55,Overload,Yes
7,0.0,0.0,26,Line Break,Yes
239,4.76,49.93,33,Normal,No
224,4.13,49.88,30,Normal,No
18,0.0,0.0,20,Line Break,Yes
18,0.0,0.0,30,Line Break,Yes
261,6.04,50.51,42,Overvoltage,Yes
234,4.97,49.95,31,Normal,No
112,3.83,49.35,25,Undervoltage,Yes
3,0.0,0.0,21,Line Break,Yes
20,0.0,0.0,24,Line Break,Yes
240,3.83,49.89,30,Normal,No
230,5.04,50.03,25,Normal,No
257,18.76,49.85,47,Overload,Yes
18,0.0,0.0,27,Line Break,Yes
235,7.67,50.08,30,Normal,No
234,6.76,50.12,31,Normal,No
9,0.0,0.0,28,Line Break,Yes
175,3.89,49.77,35,Undervoltage,Yes
143,3.38,49.23,27,Undervoltage,Yes
106,2.33,49.19,33,Undervoltage,Yes
230,3.02,49.99,31,Normal,No
228,3.19,49.82,31,Normal,No
255,13.21,50.04,55,Overload,Yes
103,4.7,49.04,35,Undervoltage,Yes
239,3.51,49.89,26,Normal,No
11,0.0,0.0,21,Line Break,Yes
294,5.89,50.34,30,Overvoltage,Yes
16,0.0,0.0,27,Line Break,Yes
15,0.0,0.0,29,Line Break,Yes
158,2.93,49.06,31,Undervoltage,Yes
238,6.46,50.19,29,Normal,No
254,13.77,50.13,51,Overload,Yes
5,0.0,0.0,26,Line Break,Yes
106,3.54,49.01,35,Undervoltage,Yes
225,3.08,49.9,26,Normal,No
236,4.94,50.12,31,Normal,No
115,5.68,49.04,34,Undervoltage,Yes
275,9.19,50.55,31,Overvoltage,Yes
273,5.02,50.25,42,Overvoltage,Yes
223,3.59,49.89,34,Normal,No
245,18.7,50.15,52,Overload,Yes
257,11.13,49.94,54,Overload,Yes
123,2.33,49.13,27,Undervoltage,Yes
173,2.45,49.87,27,Undervoltage,Yes
242,15.65,49.85,48,Overload,Yes
228,7.28,49.89,30,Normal,No
18,0.0,0.0,28,Line Break,Yes
101,4.48,49.82,35,Undervoltage,Yes
14,0.0,0.0,20,Line Break,Yes
235,5.37,49.84,28,Normal,No
240,10.19,49.87,49,Overload,Yes
1,0.0,0.0,29,Line Break,Yes
270,9.41,50.52,34,Overvoltage,Yes
250,11.87,50.19,46,Overload,Yes
238,4.93,49.85,34,Normal,No
120,3.22,49.26,35,Undervoltage,Yes
292,8.63,50.81,39,Overvoltage,Yes
20,0.0,0.0,21,Line Break,Yes
238,5.7,49.84,26,Normal,No
277,5.68,50.14,40,Overvoltage,Yes
240,7.84,49.91,27,Normal,No
294,5.13,50.52,39,Overvoltage,Yes
131,4.29,49.1,26,Undervoltage,Yes
257,11.52,50.07,45,Overload,Yes
10,0.0,0.0,20,Line Break,Yes
264,6.91,50.44,40,Overvoltage,Yes
252,17.76,49.95,53,Overload,Yes
292,8.86,50.04,44,Overvoltage,Yes
255,13.26,50.16,40,Overload,Yes
168,4.13,49.25,25,Undervoltage,Yes
287,8.11,50.66,40,Overvoltage,Yes
110,3.5,49.95,31,Undervoltage,Yes
284,9.55,50.6,37,Overvoltage,Yes
127,4.51,49.36,29,Undervoltage,Yes
130,4.03,49.66,27,Undervoltage,Yes
259,15.61,49.88,40,Overload,Yes
240,15.09,49.99,54,Overload,Yes
245,19.25,50.14,55,Overload,Yes
231,7.13,50.07,28,Normal,No
267,7.96,50.91,30,Overvoltage,Yes
168,5.12,49.65,26,Undervoltage,Yes
261,9.42,50.06,41,Overvoltage,Yes
232,5.4,50.07,30,Normal,No
249,13.17,50.08,50,Overload,Yes
107,2.35,49.04,32,Undervoltage,Yes
275,5.4,50.09,38,Overvoltage,Yes
258,11.25,49.98,41,Overload,Yes
248,17.85,50.2,51,Overload,Yes
235,6.69,49.95,33,Normal,No
149,5.28,49.37,32,Undervoltage,Yes
295,8.55,50.06,37,Overvoltage,Yes
230,7.51,50.06,28,Normal,No
242,15.13,50.16,54,Overload,Yes
239,7.06,49.9,27,Normal,No
262,9.79,50.45,35,Overvoltage,Yes
221,5.48,50.04,29,Normal,No
291,7.83,50.02,45,Overvoltage,Yes
7,0.0,0.0,27,Line Break,Yes
234,4.01,49.95,32,Normal,No
153,3.37,49.07,28,Undervoltage,Yes
177,4.33,49.13,27,Undervoltage,Yes
259,16.23,50.08,55,Overload,Yes
256,19.06,49.87,49,Overload,Yes
1,0.0,0.0,22,Line Break,Yes
3,0.0,0.0,26,Line Break,Yes
235,4.02,50.07,33,Normal,No
20,0.0,0.0,27,Line Break,Yes
245,18.85,49.87,52,Overload,Yes
20,0.0,0.0,30,Line Break,Yes
247,17.92,49.98,44,Overload,Yes
283,9.3,50.78,39,Overvoltage,Yes
7,0.0,0.0,20,Line Break,Yes
10,0.0,0.0,20,Line Break,Yes
173,3.65,49.35,32,Undervoltage,Yes
231,6.25,50.17,34,Normal,No
235,5.96,49.96,33,Normal,No
137,5.31,49.94,30,Undervoltage,Yes
224,3.3,49.98,35,Normal,No
233,6.51,50.08,25,Normal,No
124,5.34,49.5,27,Undervoltage,Yes
4,0.0,0.0,21,Line Break,Yes
2,0.0,0.0,27,Line Break,Yes
240,5.14,49.98,33,Normal,No
1,0.0,0.0,28,Line Break,Yes
234,4.84,49.86,32,Normal,No
250,10.82,49.88,44,Overload,Yes
221,4.37,49.97,33,Normal,No
17,0.0,0.0,22,Line Break,Yes
236,6.68,50.02,30,Normal,No
19,0.0,0.0,27,Line Break,Yes
177,2.37,49.63,28,Undervoltage,Yes
11,0.0,0.0,29,Line Break,Yes
239,3.05,50.03,35,Normal,No
14,0.0,0.0,20,Line Break,Yes
140,4.86,49.45,32,Undervoltage,Yes
263,8.27,50.17,33,Overvoltage,Yes
234,7.33,49.93,31,Normal,No
249,19.27,50.2,51,Overload,Yes
12,0.0,0.0,20,Line Break,Yes
149,3.2,49.14,25,Undervoltage,Yes
223,6.27,50.13,34,Normal,No
104,5.01,49.21,27,Undervoltage,Yes
121,5.61,49.68,34,Undervoltage,Yes
14,0.0,0.0,28,Line Break,Yes
252,13.05,50.08,52,Overload,Yes
234,6.66,50.18,29,Normal,No
238,4.42,50.05,29,Normal,No
17,0.0,0.0,26,Line Break,Yes
284,5.92,50.46,36,Overvoltage,Yes
17,0.0,0.0,27,Line Break,Yes
285,9.84,50.52,36,Overvoltage,Yes
11,0.0,0.0,29,Line Break,Yes
229,5.51,49.86,32,Normal,No
15,0.0,0.0,28,Line Break,Yes
242,12.15,49.86,52,Overload,Yes
167,5.43,49.42,28,Undervoltage,Yes
294,6.1,50.87,31,Overvoltage,Yes
221,5.27,50.03,31,Normal,No
140,3.84,49.67,30,Undervoltage,Yes
111,3.62,49.11,31,Undervoltage,Yes
1,0.0,0.0,24,Line Break,Yes
225,4.72,50.14,30,Normal,No
231,6.3,50.18,34,Normal,No
228,7.48,50.15,31,Normal,No
19,0.0,0.0,27,Line Break,Yes
13,0.0,0.0,30,Line Break,Yes
299,7.18,50.98,33,Overvoltage,Yes
158,5.98,49.63,35,Undervoltage,Yes
257,19.76,50.19,53,Overload,Yes
269,6.77,50.33,41,Overvoltage,Yes
2,0.0,0.0,28,Line Break,Yes
250,19.56,50.0,53,Overload,Yes
254,12.23,50.16,47,Overload,Yes
247,11.63,49.89,41,Overload,Yes
252,12.4,49.83,42,Overload,Yes
257,11.1,50.13,55,Overload,Yes
254,12.32,49.96,54,Overload,Yes
233,4.24,50.14,32,Normal,No
228,5.04,50.02,30,Normal,No
164,3.01,49.33,33,Undervoltage,Yes
286,9.55,50.51,41,Overvoltage,Yes
134,2.88,49.33,27,Undervoltage,Yes
255,16.13,50.09,41,Overload,Yes
252,15.42,50.16,49,Overload,Yes
17,0.0,0.0,30,Line Break,Yes
148,3.6,50.0,31,Undervoltage,Yes
264,5.29,50.21,44,Overvoltage,Yes
291,8.23,50.14,36,Overvoltage,Yes
247,12.04,50.11,50,Overload,Yes
275,9.46,50.25,31,Overvoltage,Yes
226,4.62,49.95,30,Normal,No
174,2.13,49.26,34,Undervoltage,Yes
230,5.62,49.89,28,Normal,No
233,7.97,50.1,34,Normal,No
139,2.6,49.17,32,Undervoltage,Yes
151,5.9,49.56,26,Undervoltage,Yes
226,6.15,50.05,35,Normal,No
126,4.76,49.13,27,Undervoltage,Yes
247,13.98,50.13,52,Overload,Yes
225,7.05,50.07,34,Normal,No
232,6.4,50.16,34,Normal,No
127,3.72,49.97,29,Undervoltage,Yes
268,5.23,50.41,45,Overvoltage,Yes
240,18.86,50.07,42,Overload,Yes
300,7.06,50.79,39,Overvoltage,Yes
289,8.47,50.71,31,Overvoltage,Yes
151,4.64,49.43,27,Undervoltage,Yes
283,8.53,50.79,30,Overvoltage,Yes
242,14.79,49.97,41,Overload,Yes
161,5.75,49.55,32,Undervoltage,Yes
175,4.52,49.21,33,Undervoltage,Yes
256,18.97,50.07,43,Overload,Yes
260,13.11,49.84,53,Overload,Yes
291,5.54,50.32,37,Overvoltage,Yes
156,5.98,49.4,30,Undervoltage,Yes
149,5.47,49.25,30,Undervoltage,Yes
11,0.0,0.0,20,Line Break,Yes
277,9.0,50.28,36,Overvoltage,Yes
157,4.44,49.5,33,Undervoltage,Yes
291,5.84,50.97,37,Overvoltage,Yes
244,11.06,50.17,55,Overload,Yes
224,4.29,49.84,32,Normal,No
101,4.76,49.5,25,Undervoltage,Yes
246,14.65,50.06,40,Overload,Yes
260,10.53,50.14,41,Overload,Yes
228,4.35,49.84,28,Normal,No
160,5.76,49.6,27,Undervoltage,Yes
238,7.3,50.05,27,Normal,No
243,16.15,49.82,55,Overload,Yes
264,9.58,50.7,43,Overvoltage,Yes
229,5.07,49.81,29,Normal,No
144,2.58,49.23,32,Undervoltage,Yes
132,5.26,49.36,29,Undervoltage,Yes
17,0.0,0.0,21,Line Break,Yes
299,9.99,50.04,30,Overvoltage,Yes
265,8.19,50.52,32,Overvoltage,Yes
242,10.9,50.13,40,Overload,Yes
244,16.8,49.88,44,Overload,Yes
18,0.0,0.0,26,Line Break,Yes
2,0.0,0.0,25,Line Break,Yes
105,5.56,49.56,31,Undervoltage,Yes
107,4.56,49.01,30,Undervoltage,Yes
11,0.0,0.0,25,Line Break,Yes
3,0.0,0.0,29,Line Break,Yes
179,5.59,49.88,31,Undervoltage,Yes
223,4.64,50.06,28,Normal,No
166,2.24,49.48,32,Undervoltage,Yes
14,0.0,0.0,23,Line Break,Yes
230,6.06,50.17,31,Normal,No
245,17.28,50.0,46,Overload,Yes
165,2.2,49.61,32,Undervoltage,Yes
250,16.29,49.85,49,Overload,Yes
223,4.45,50.07,35,Normal,No
238,7.58,50.07,25,Normal,No
172,5.9,49.27,35,Undervoltage,Yes
226,4.43,50.15,27,Normal,No
114,2.87,49.15,35,Undervoltage,Yes
299,6.9,50.84,32,Overvoltage,Yes
155,2.54,49.98,32,Undervoltage,Yes
163,2.2,49.29,25,Undervoltage,Yes
230,6.34,50.16,35,Normal,No
222,5.5,50.16,28,Normal,No
264,7.83,50.45,41,Overvoltage,Yes
102,5.32,49.23,33,Undervoltage,Yes
236,5.78,50.15,25,Normal,No
269,7.45,50.44,30,Overvoltage,Yes
155,6.0,49.33,33,Undervoltage,Yes
235,6.04,49.84,31,Normal,No
252,10.04,50.04,53,Overload,Yes
254,18.17,49.89,48,Overload,Yes
236,7.57,50.19,26,Normal,No
237,6.53,50.05,30,Normal,No
290,6.73,50.11,43,Overvoltage,Yes
230,7.45,49.86,26,Normal,No
232,4.95,49.93,26,Normal,No
233,3.83,50.12,34,Normal,No
243,11.55,50.0,44,Overload,Yes
148,2.96,49.4,28,Undervoltage,Yes
235,5.56,50.18,35,Normal,No
237,5.94,49.88,32,Normal,No
281,7.26,50.98,41,Overvoltage,Yes
258,15.54,49.99,45,Overload,Yes
223,4.41,49.88,35,Normal,No
124,2.29,49.36,34,Undervoltage,Yes
11,0.0,0.0,24,Line Break,Yes
128,4.37,49.15,31,Undervoltage,Yes
251,10.56,49.96,40,Overload,Yes
233,7.82,49.95,34,Normal,No
223,4.2,49.97,32,Normal,No
135,5.71,49.18,30,Undervoltage,Yes
172,4.99,49.25,33,Undervoltage,Yes
228,5.19,49.87,34,Normal,No
240,3.28,50.07,34,Normal,No
0,0.0,0.0,23,Line Break,Yes
11,0.0,0.0,27,Line Break,Yes
120,4.48,49.33,32,Undervoltage,Yes
18,0.0,0.0,27,Line Break,Yes
252,15.26,49.95,52,Overload,Yes
250,16.02,49.99,44,Overload,Yes
272,5.99,50.23,37,Overvoltage,Yes
252,15.45,50.07,43,Overload,Yes
11,0.0,0.0,20,Line Break,Yes
238,6.04,50.11,28,Normal,No
300,5.87,50.36,34,Overvoltage,Yes
297,9.31,50.15,44,Overvoltage,Yes
221,6.16,50.18,34,Normal,No
15,0.0,0.0,21,Line Break,Yes
220,5.93,50.06,29,Normal,No
228,7.3,50.16,33,Normal,No
244,19.44,49.83,41,Overload,Yes
268,7.52,50.53,33,Overvoltage,Yes
257,10.96,49.83,45,Overload,Yes
277,8.39,50.61,37,Overvoltage,Yes
140,2.28,49.71,27,Undervoltage,Yes
251,18.7,50.1,54,Overload,Yes
280,9.52,50.03,37,Overvoltage,Yes
155,2.65,49.46,32,Undervoltage,Yes
19,0.0,0.0,20,Line Break,Yes
168,4.84,49.07,34,Undervoltage,Yes
2,0.0,0.0,30,Line Break,Yes
291,5.02,51.0,35,Overvoltage,Yes
17,0.0,0.0,28,Line Break,Yes
19,0.0,0.0,25,Line Break,Yes
6,0.0,0.0,29,Line Break,Yes
296,7.44,50.11,34,Overvoltage,Yes
269,5.73,50.65,42,Overvoltage,Yes
7,0.0,0.0,28,Line Break,Yes
14,0.0,0.0,29,Line Break,Yes
277,8.21,50.12,40,Overvoltage,Yes
258,19.23,49.97,49,Overload,Yes
227,6.65,50.14,31,Normal,No
6,0.0,0.0,28,Line Break,Yes
226,5.2,50.08,29,Normal,No
270,6.62,50.13,36,Overvoltage,Yes
261,5.96,50.28,39,Overvoltage,Yes
135,4.63,49.82,27,Undervoltage,Yes
259,15.26,49.86,50,Overload,Yes
18,0.0,0.0,25,Line Break,Yes
240,19.2,50.06,54,Overload,Yes
268,9.42,50.73,30,Overvoltage,Yes
233,3.66,49.87,34,Normal,No
173,3.18,49.66,25,Undervoltage,Yes
240,3.15,50.07,29,Normal,No
266,8.9,50.82,41,Overvoltage,Yes
235,6.9,50.2,27,Normal,No
232,3.08,49.85,35,Normal,No
229,4.52,49.9,28,Normal,No
146,4.08,49.21,25,Undervoltage,Yes
222,7.95,49.92,30,Normal,No
176,5.83,49.4,29,Undervoltage,Yes
174,5.06,49.05,30,Undervoltage,Yes
228,3.42,49.84,33,Normal,No
232,5.85,50.18,32,Normal,No
231,7.94,49.8,35,Normal,No
225,3.87,49.95,34,Normal,No
167,4.05,49.92,33,Undervoltage,Yes
290,6.24,50.19,32,Overvoltage,Yes
222,6.92,50.11,33,Normal,No
117,3.07,49.37,31,Undervoltage,Yes
129,4.02,49.3,32,Undervoltage,Yes
20,0.0,0.0,25,Line Break,Yes
293,9.27,50.11,34,Overvoltage,Yes
132,3.73,49.66,35,Undervoltage,Yes
130,5.83,49.6,31,Undervoltage,Yes
260,15.75,50.13,43,Overload,Yes
224,4.18,49.94,26,Normal,No
293,8.09,50.98,30,Overvoltage,Yes
248,14.98,50.16,49,Overload,Yes
224,4.03,50.08,33,Normal,No
151,5.66,49.99,30,Undervoltage,Yes
287,9.32,50.34,44,Overvoltage,Yes
109,4.45,49.56,32,Undervoltage,Yes
247,16.4,50.03,48,Overload,Yes
278,5.13,50.3,45,Overvoltage,Yes
155,5.96,49.97,30,Undervoltage,Yes
19,0.0,0.0,27,Line Break,Yes
228,3.36,49.89,30,Normal,No
255,16.94,50.12,46,Overload,Yes
167,2.74,49.46,25,Undervoltage,Yes
227,7.1,49.83,32,Normal,No
283,6.15,50.38,39,Overvoltage,Yes
280,8.96,50.39,42,Overvoltage,Yes
242,18.26,49.84,54,Overload,Yes
296,6.68,50.81,43,Overvoltage,Yes
19,0.0,0.0,21,Line Break,Yes
251,16.76,49.82,40,Overload,Yes
1,0.0,0.0,26,Line Break,Yes
10,0.0,0.0,27,Line Break,Yes
105,2.19,49.31,27,Undervoltage,Yes
262,8.3,50.07,45,Overvoltage,Yes
299,9.41,50.94,32,Overvoltage,Yes
296,6.24,50.4,33,Overvoltage,Yes
255,16.73,49.89,40,Overload,Yes
221,3.75,49.96,30,Normal,No
151,2.9,49.87,25,Undervoltage,Yes
226,4.6,49.84,28,Normal,No
264,6.38,50.14,45,Overvoltage,Yes
262,9.62,50.98,42,Overvoltage,Yes
234,7.13,49.94,29,Normal,No
172,3.27,49.59,25,Undervoltage,Yes
274,7.08,50.24,38,Overvoltage,Yes
179,4.82,49.93,33,Undervoltage,Yes
234,6.08,49.91,25,Normal,No
275,5.28,50.29,38,Overvoltage,Yes
248,17.51,50.03,45,Overload,Yes
290,7.77,50.55,31,Overvoltage,Yes
126,4.32,49.09,32,Undervoltage,Yes
12,0.0,0.0,30,Line Break,Yes
6,0.0,0.0,22,Line Break,Yes
261,9.45,50.62,38,Overvoltage,Yes
283,5.34,50.99,31,Overvoltage,Yes
293,7.99,50.32,38,Overvoltage,Yes
261,5.54,50.97,32,Overvoltage,Yes
220,7.78,49.87,35,Normal,No
10,0.0,0.0,21,Line Break,Yes
221,7.87,50.01,26,Normal,No
260,11.75,50.07,51,Overload,Yes
229,5.23,49.9,25,Normal,No
168,3.8,49.22,32,Undervoltage,Yes
241,19.9,50.01,44,Overload,Yes
118,5.76,49.87,29,Undervoltage,Yes
227,5.01,50.08,31,Normal,No
236,4.53,50.16,31,Normal,No
254,19.07,49.88,53,Overload,Yes
224,5.47,50.17,27,Normal,No
144,5.11,49.99,35,Undervoltage,Yes
9,0.0,0.0,26,Line Break,Yes
162,2.52,49.68,34,Undervoltage,Yes
242,17.37,50.15,45,Overload,Yes
